resume_id,job_id,all-mpnet-base-v2_score,paraphrase-MiniLM-L6-v2_score,all-MiniLM-L12-v1_score,all-roberta-large-v1_score,bert_base_nli_mean_tokens_score
pdf_resume_1001,Full-stack Developer.txt,321,460,353,317,544
pdf_resume_1020,Full-stack Developer.txt,111,97,138,86,103
pdf_resume_1024,Full-stack Developer.txt,529,563,600,623,497
pdf_resume_1031,Full-stack Developer.txt,906,855,902,797,860
pdf_resume_1033,Full-stack Developer.txt,45,14,29,220,21
pdf_resume_1036,Full-stack Developer.txt,137,118,132,638,185
pdf_resume_1037,Full-stack Developer.txt,34,34,39,28,46
pdf_resume_1039,Full-stack Developer.txt,111,69,116,307,137
pdf_resume_1047,Full-stack Developer.txt,350,183,313,176,124
pdf_resume_1048,Full-stack Developer.txt,810,908,865,878,875
pdf_resume_1056,Full-stack Developer.txt,344,199,383,273,59
pdf_resume_1070,Full-stack Developer.txt,66,39,60,33,107
pdf_resume_1071,Full-stack Developer.txt,837,764,875,863,812
pdf_resume_1076,Full-stack Developer.txt,637,694,419,673,245
pdf_resume_1097,Full-stack Developer.txt,142,58,44,67,144
pdf_resume_1105,Full-stack Developer.txt,653,694,614,673,337
pdf_resume_1109,Full-stack Developer.txt,850,908,833,853,822
pdf_resume_112,Full-stack Developer.txt,317,328,294,438,431
pdf_resume_1124,Full-stack Developer.txt,24,185,18,147,103
pdf_resume_115,Full-stack Developer.txt,505,277,360,155,453
pdf_resume_1153,Full-stack Developer.txt,484,382,475,631,301
pdf_resume_1167,Full-stack Developer.txt,592,729,438,699,633
pdf_resume_1169,Full-stack Developer.txt,242,243,279,348,582
pdf_resume_1175,Full-stack Developer.txt,614,851,660,721,756
pdf_resume_1183,Full-stack Developer.txt,637,851,695,762,852
pdf_resume_123,Full-stack Developer.txt,329,183,259,49,59
pdf_resume_1231,Full-stack Developer.txt,700,758,706,750,690
pdf_resume_1235,Full-stack Developer.txt,366,199,450,300,167
pdf_resume_1267,Full-stack Developer.txt,335,162,280,62,52
pdf_resume_1273,Full-stack Developer.txt,350,371,313,270,155
pdf_resume_1283,Full-stack Developer.txt,509,255,400,194,483
pdf_resume_1285,Full-stack Developer.txt,499,444,369,565,215
pdf_resume_1290,Full-stack Developer.txt,96,95,111,51,59
pdf_resume_1303,Full-stack Developer.txt,720,403,527,594,327
pdf_resume_1317,Full-stack Developer.txt,660,729,668,570,657
pdf_resume_1319,Full-stack Developer.txt,101,162,127,326,144
pdf_resume_1325,Full-stack Developer.txt,614,835,551,689,836
pdf_resume_1328,Full-stack Developer.txt,709,403,502,594,327
pdf_resume_1331,Full-stack Developer.txt,31,12,21,19,12
pdf_resume_1341,Full-stack Developer.txt,509,241,394,132,409
pdf_resume_1380,Full-stack Developer.txt,399,526,151,304,346
pdf_resume_1395,Full-stack Developer.txt,821,750,871,764,858
pdf_resume_1397,Full-stack Developer.txt,910,908,915,894,934
pdf_resume_1398,Full-stack Developer.txt,726,755,800,852,866
pdf_resume_1401,Full-stack Developer.txt,879,908,878,894,885
pdf_resume_1403,Full-stack Developer.txt,819,810,802,819,923
pdf_resume_1414,Full-stack Developer.txt,810,908,865,616,878
pdf_resume_1419,Full-stack Developer.txt,399,259,169,170,35
pdf_resume_1430,Full-stack Developer.txt,831,755,847,830,681
pdf_resume_1510,Full-stack Developer.txt,326,188,74,198,180
pdf_resume_1513,Full-stack Developer.txt,471,262,273,162,175
pdf_resume_1529,Full-stack Developer.txt,85,16,57,152,67
pdf_resume_1534,Full-stack Developer.txt,775,634,751,788,727
pdf_resume_1540,Full-stack Developer.txt,907,520,897,910,856
pdf_resume_1550,Full-stack Developer.txt,413,368,360,201,284
pdf_resume_1558,Full-stack Developer.txt,865,650,847,876,582
pdf_resume_1577,Full-stack Developer.txt,259,825,319,525,790
pdf_resume_159,Full-stack Developer.txt,413,262,374,296,112
pdf_resume_16,Full-stack Developer.txt,101,56,116,58,117
pdf_resume_1604,Full-stack Developer.txt,750,665,588,703,378
pdf_resume_1605,Full-stack Developer.txt,898,815,892,865,847
pdf_resume_1610,Full-stack Developer.txt,675,590,687,686,511
pdf_resume_1611,Full-stack Developer.txt,439,323,534,590,511
pdf_resume_1615,Full-stack Developer.txt,857,614,812,794,690
pdf_resume_1626,Full-stack Developer.txt,885,773,860,833,798
pdf_resume_1635,Full-stack Developer.txt,446,694,335,425,450
pdf_resume_1648,Full-stack Developer.txt,803,804,823,810,902
pdf_resume_1668,Full-stack Developer.txt,880,854,901,871,926
pdf_resume_1673,Full-stack Developer.txt,866,908,898,732,918
pdf_resume_1676,Full-stack Developer.txt,814,858,841,893,907
pdf_resume_1677,Full-stack Developer.txt,759,649,588,638,474
pdf_resume_1688,Full-stack Developer.txt,73,220,181,220,618
pdf_resume_1696,Full-stack Developer.txt,202,192,189,247,311
pdf_resume_17,Full-stack Developer.txt,125,89,86,166,67
pdf_resume_1701,Full-stack Developer.txt,699,318,772,420,852
pdf_resume_1729,Full-stack Developer.txt,166,111,227,203,284
pdf_resume_1751,Full-stack Developer.txt,350,560,145,455,185
pdf_resume_1788,Full-stack Developer.txt,383,441,330,281,301
pdf_resume_1798,Full-stack Developer.txt,741,634,732,781,595
pdf_resume_18,Full-stack Developer.txt,136,34,79,176,74
pdf_resume_1808,Full-stack Developer.txt,580,376,371,436,277
pdf_resume_1810,Full-stack Developer.txt,218,284,106,176,483
pdf_resume_1813,Full-stack Developer.txt,399,272,293,397,252
pdf_resume_1853,Full-stack Developer.txt,371,227,116,296,522
pdf_resume_1859,Full-stack Developer.txt,847,724,846,767,522
pdf_resume_1860,Full-stack Developer.txt,750,665,588,703,378
pdf_resume_1866,Full-stack Developer.txt,187,153,57,109,160
pdf_resume_1884,Full-stack Developer.txt,60,45,64,34,93
pdf_resume_1886,Full-stack Developer.txt,489,463,327,545,301
pdf_resume_1890,Full-stack Developer.txt,568,387,624,365,690
pdf_resume_1905,Full-stack Developer.txt,556,298,563,491,491
pdf_resume_191,Full-stack Developer.txt,800,841,692,784,827
pdf_resume_1916,Full-stack Developer.txt,409,800,378,355,861
pdf_resume_203,Full-stack Developer.txt,706,694,807,849,700
pdf_resume_2051,Full-stack Developer.txt,837,764,875,863,812
pdf_resume_2085,Full-stack Developer.txt,375,351,206,312,575
pdf_resume_21,Full-stack Developer.txt,111,77,96,314,52
pdf_resume_2114,Full-stack Developer.txt,792,775,804,787,802
pdf_resume_2120,Full-stack Developer.txt,216,492,515,293,707
pdf_resume_2147,Full-stack Developer.txt,592,729,438,699,633
pdf_resume_220,Full-stack Developer.txt,827,908,741,837,822
pdf_resume_2216,Full-stack Developer.txt,366,199,450,300,167
pdf_resume_2227,Full-stack Developer.txt,466,908,504,658,774
pdf_resume_2240,Full-stack Developer.txt,335,162,280,62,52
pdf_resume_2278,Full-stack Developer.txt,535,829,703,732,774
pdf_resume_2308,Full-stack Developer.txt,805,908,716,859,822
pdf_resume_232,Full-stack Developer.txt,111,89,96,182,52
pdf_resume_2360,Full-stack Developer.txt,329,371,259,140,93
pdf_resume_2375,Full-stack Developer.txt,728,787,403,658,764
pdf_resume_2387,Full-stack Developer.txt,819,810,802,819,923
pdf_resume_240,Full-stack Developer.txt,556,495,563,464,601
pdf_resume_2400,Full-stack Developer.txt,489,463,327,545,301
pdf_resume_2407,Full-stack Developer.txt,694,815,820,648,909
pdf_resume_2427,Full-stack Developer.txt,850,908,833,889,807
pdf_resume_2465,Full-stack Developer.txt,269,551,504,417,555
pdf_resume_2475,Full-stack Developer.txt,881,608,871,867,781
pdf_resume_25,Full-stack Developer.txt,835,732,873,868,561
pdf_resume_2579,Full-stack Developer.txt,653,694,614,673,409
pdf_resume_2609,Full-stack Developer.txt,637,449,638,553,291
pdf_resume_2693,Full-stack Developer.txt,478,873,484,533,707
