resume_id,job_id,all-mpnet-base-v2_score,paraphrase-MiniLM-L6-v2_score,all-MiniLM-L12-v1_score,all-roberta-large-v1_score,bert_base_nli_mean_tokens_score
pdf_resume_1001,Full-stack Developer.txt,0.495,0.339,0.492,0.451,0.782
pdf_resume_1001,Full-stack Developer.txt,0.495,0.339,0.492,0.451,0.782
pdf_resume_1020,Full-stack Developer.txt,0.611,0.602,0.611,0.576,0.849
pdf_resume_1024,Full-stack Developer.txt,0.427,0.277,0.391,0.325,0.789
pdf_resume_1031,Full-stack Developer.txt,0.119,0.067,0.126,0.24,0.715
pdf_resume_1033,Full-stack Developer.txt,0.648,0.676,0.675,0.5,0.872
pdf_resume_1036,Full-stack Developer.txt,0.604,0.579,0.612,0.316,0.834
pdf_resume_1037,Full-stack Developer.txt,0.656,0.633,0.663,0.628,0.863
pdf_resume_1039,Full-stack Developer.txt,0.611,0.612,0.618,0.456,0.842
pdf_resume_1047,Full-stack Developer.txt,0.487,0.521,0.513,0.519,0.844
pdf_resume_1048,Full-stack Developer.txt,0.297,0.0,0.226,0.164,0.7
pdf_resume_1056,Full-stack Developer.txt,0.488,0.512,0.473,0.47,0.856
pdf_resume_1070,Full-stack Developer.txt,0.637,0.632,0.644,0.616,0.848
pdf_resume_1071,Full-stack Developer.txt,0.26,0.186,0.203,0.204,0.734
pdf_resume_1076,Full-stack Developer.txt,0.387,0.212,0.461,0.306,0.823
pdf_resume_1097,Full-stack Developer.txt,0.601,0.617,0.658,0.587,0.841
pdf_resume_1105,Full-stack Developer.txt,0.384,0.212,0.384,0.306,0.811
pdf_resume_1109,Full-stack Developer.txt,0.246,0.0,0.283,0.216,0.732
pdf_resume_112,Full-stack Developer.txt,0.496,0.422,0.518,0.404,0.801
pdf_resume_1124,Full-stack Developer.txt,0.674,0.52,0.689,0.537,0.849
pdf_resume_115,Full-stack Developer.txt,0.439,0.447,0.488,0.531,0.797
pdf_resume_1153,Full-stack Developer.txt,0.447,0.386,0.443,0.318,0.815
pdf_resume_1167,Full-stack Developer.txt,0.397,0.206,0.453,0.299,0.768
pdf_resume_1169,Full-stack Developer.txt,0.536,0.473,0.526,0.437,0.776
pdf_resume_1175,Full-stack Developer.txt,0.392,0.071,0.373,0.293,0.748
pdf_resume_1183,Full-stack Developer.txt,0.387,0.071,0.362,0.279,0.72
pdf_resume_123,Full-stack Developer.txt,0.492,0.521,0.536,0.601,0.856
pdf_resume_1231,Full-stack Developer.txt,0.364,0.191,0.353,0.285,0.76
pdf_resume_1235,Full-stack Developer.txt,0.48,0.512,0.451,0.459,0.837
pdf_resume_1267,Full-stack Developer.txt,0.49,0.535,0.525,0.59,0.859
pdf_resume_1273,Full-stack Developer.txt,0.487,0.395,0.513,0.471,0.839
pdf_resume_1283,Full-stack Developer.txt,0.438,0.467,0.465,0.512,0.792
pdf_resume_1285,Full-stack Developer.txt,0.442,0.347,0.483,0.358,0.829
pdf_resume_1290,Full-stack Developer.txt,0.616,0.605,0.619,0.598,0.856
pdf_resume_1303,Full-stack Developer.txt,0.353,0.374,0.422,0.346,0.812
pdf_resume_1317,Full-stack Developer.txt,0.383,0.206,0.372,0.357,0.765
pdf_resume_1319,Full-stack Developer.txt,0.613,0.535,0.614,0.447,0.841
pdf_resume_1325,Full-stack Developer.txt,0.392,0.115,0.402,0.302,0.727
pdf_resume_1328,Full-stack Developer.txt,0.359,0.374,0.433,0.346,0.812
pdf_resume_1331,Full-stack Developer.txt,0.659,0.68,0.684,0.639,0.877
pdf_resume_1341,Full-stack Developer.txt,0.438,0.474,0.467,0.545,0.803
pdf_resume_1380,Full-stack Developer.txt,0.468,0.294,0.605,0.457,0.81
pdf_resume_1395,Full-stack Developer.txt,0.288,0.197,0.216,0.276,0.717
pdf_resume_1397,Full-stack Developer.txt,0.074,0.0,0.059,0.141,0.625
pdf_resume_1398,Full-stack Developer.txt,0.348,0.193,0.306,0.218,0.707
pdf_resume_1401,Full-stack Developer.txt,0.208,0.0,0.201,0.141,0.687
pdf_resume_1403,Full-stack Developer.txt,0.29,0.135,0.304,0.236,0.652
pdf_resume_1414,Full-stack Developer.txt,0.297,0.0,0.226,0.329,0.697
pdf_resume_1419,Full-stack Developer.txt,0.468,0.461,0.59,0.523,0.866
pdf_resume_1430,Full-stack Developer.txt,0.275,0.193,0.255,0.234,0.761
pdf_resume_1510,Full-stack Developer.txt,0.493,0.517,0.635,0.51,0.835
pdf_resume_1513,Full-stack Developer.txt,0.45,0.46,0.529,0.526,0.836
pdf_resume_1529,Full-stack Developer.txt,0.621,0.668,0.645,0.533,0.855
pdf_resume_1534,Full-stack Developer.txt,0.322,0.241,0.333,0.251,0.753
pdf_resume_1540,Full-stack Developer.txt,0.079,0.297,0.143,0.076,0.719
pdf_resume_1550,Full-stack Developer.txt,0.463,0.397,0.488,0.509,0.817
pdf_resume_1558,Full-stack Developer.txt,0.227,0.231,0.255,0.165,0.776
pdf_resume_1577,Full-stack Developer.txt,0.528,0.123,0.511,0.368,0.74
pdf_resume_159,Full-stack Developer.txt,0.463,0.46,0.48,0.461,0.847
pdf_resume_16,Full-stack Developer.txt,0.613,0.618,0.618,0.593,0.846
pdf_resume_1604,Full-stack Developer.txt,0.334,0.217,0.392,0.298,0.807
pdf_resume_1605,Full-stack Developer.txt,0.137,0.133,0.155,0.203,0.722
pdf_resume_1610,Full-stack Developer.txt,0.38,0.269,0.367,0.304,0.787
pdf_resume_1611,Full-stack Developer.txt,0.457,0.426,0.416,0.351,0.787
pdf_resume_1615,Full-stack Developer.txt,0.237,0.253,0.296,0.242,0.76
pdf_resume_1626,Full-stack Developer.txt,0.185,0.177,0.237,0.231,0.738
pdf_resume_1635,Full-stack Developer.txt,0.455,0.212,0.504,0.412,0.798
pdf_resume_1648,Full-stack Developer.txt,0.313,0.139,0.289,0.238,0.671
